normalized_parcel,address,seismic_rows,rso_unit_count
5530-010-003,7546   Norton Ave,1,8.0
5530-010-004,7542   Norton Ave,1,8.0
5530-010-005,7538   Norton Ave,1,10.0
5530-010-009,7518   Norton Ave,1,8.0
5530-010-024,7553   Santa Monica Blvd   7553,1,3.0
5530-011-002,7732   Norton Ave,1,6.0
5530-011-004,7718   Norton Ave,1,18.0
5530-011-013,7706   Norton Ave,1,7.0
5530-012-016,1001   Orange Grove Ave,1,12.0
5530-012-017,1005   Orange Grove Ave,1,9.0
5530-012-020,1021   Orange Grove Ave,1,11.0
5530-013-011,1042   Orange Grove Ave,1,8.0
5530-013-012,1036   Orange Grove Ave,1,9.0
5530-013-014,1022   Orange Grove Ave,1,10.0
5530-013-015,1016   Orange Grove Ave,1,10.0
5530-013-016,1010   Orange Grove Ave,1,8.0
5530-013-017,1006   Orange Grove Ave,1,10.0
5530-013-018,1000   Orange Grove Ave,1,12.0
5530-013-019,1001   Ogden Dr,1,20.0
5530-013-023,1027   Ogden Dr,1,10.0
5530-013-024,1031   Ogden Dr,1,10.0
5530-013-025,1037   Ogden Dr,1,10.0
5530-013-026,1041   Ogden Dr,1,8.0
5530-013-027,1047   Ogden Dr,1,10.0
5530-013-028,1051   Ogden Dr,1,10.0
5530-014-007,1050   Ogden Dr,1,9.0
5530-014-008,1046   Ogden Dr,1,10.0
5530-014-009,1040   Ogden Dr,1,11.0
5530-014-021,1017   Genesee Ave,1,10.0
5530-014-022,1021   Genesee Ave,1,10.0
5530-014-024,1033   Genesee Ave,1,10.0
5530-014-025,1037   Genesee Ave,1,11.0
5530-014-026,1043   Genesee Ave,1,10.0
5530-014-027,1045   Genesee Ave,1,9.0
5530-014-028,1049   Genesee Ave,1,10.0
5530-014-029,1001   Genesee Ave,1,12.0
5530-015-009,7722   Santa Monica Blvd,1,4.0
5530-015-013,1036   Genesee Ave,1,10.0
5530-015-014,1032   Genesee Ave,1,10.0
5530-015-015,1026   Genesee Ave,1,10.0
5530-015-017,1016   Genesee Ave,1,8.0
5530-015-024,1017   Spaulding Ave,1,10.0
5530-015-025,1021   Spaulding Ave,1,3.0
5530-015-032,7741   Romaine St,1,12.0
5530-015-033,7731   Romaine St,1,10.0
5530-016-007,1050   Spaulding Ave,1,2.0
5530-016-008,1046   Spaulding Ave,1,8.0
5530-016-010,1036   Spaulding Ave,1,10.0
5530-016-011,1030   Spaulding Ave,1,2.0
5530-016-013,1020   Spaulding Ave,1,5.0
5530-016-015,1010   Spaulding Ave,1,7.0
5530-016-016,1004   Spaulding Ave,1,10.0
5530-016-017,7715   Romaine St,1,4.0
5530-016-020,1015   Stanley Ave,1,9.0
5530-016-022,1027   Stanley Ave,1,10.0
5530-016-023,1035   Stanley Ave,1,20.0
5530-016-024,1041   Stanley Ave,1,8.0
5530-016-025,1047   Stanley Ave,1,10.0
5530-017-007,1050   Stanley Ave,1,8.0
5530-017-010,1036   Stanley Ave,1,10.0
5530-017-011,1030   Stanley Ave,1,8.0
5530-017-013,1020   Stanley Ave,1,9.0
5530-017-014,1016   Stanley Ave,1,10.0
5530-017-015,1010   Stanley Ave,1,9.0
5530-017-016,1008   Stanley Ave,1,10.0
5530-017-018,1001   Curson Ave,1,12.0
5530-017-019,1005   Curson Ave,1,10.0
5530-017-020,1013   Curson Ave,1,10.0
5530-017-021,1017   Curson Ave,1,10.0
5530-017-022,1021   Curson Ave,1,9.0
5530-017-023,1031   Curson Ave,1,20.0
5530-017-024,1037   Curson Ave,1,7.0
5530-017-025,1039   Curson Ave,1,8.0
5530-017-026,1043   Curson Ave,1,12.0
5530-018-007,1044   Curson Ave,1,8.0
5530-018-009,1030   Curson Ave,1,24.0
5530-018-010,1026   Curson Ave,1,8.0
5530-018-011,1020   Curson Ave,1,8.0
5530-018-012,1016   Curson Ave,1,11.0
5530-018-015,1000   Curson Ave,1,12.0
5530-018-021,1023   Sierra Bonita Ave,1,7.0
5530-018-022,1027   Sierra Bonita Ave,1,7.0
5530-018-024,1035   Sierra Bonita Ave,1,9.0
5530-018-026,1047   Sierra Bonita Ave,1,9.0
5530-019-007,1046   Sierra Bonita Ave,1,8.0
5530-019-011,1024   Sierra Bonita Ave,1,9.0
5530-019-015,1006   Sierra Bonita Ave,1,9.0
5530-019-017,1001   Gardner St,1,18.0
5530-019-021,1021   Gardner St,1,10.0
5530-019-023,1035   Gardner St,1,9.0
5530-019-026,1047   Gardner St,1,10.0
5530-020-001,7516   Romaine St,1,10.0
5530-020-002,944    Sierra Bonita Ave,1,9.0
5530-020-003,940   Sierra Bonita Ave,1,10.0
5530-020-004,936   Sierra Bonita Ave,1,9.0
5530-020-005,932   Sierra Bonita Ave,1,8.0
5530-020-006,924   Sierra Bonita Ave,1,7.0
5530-020-013,907    Gardner St,1,8.0
5530-020-016,921    Gardner St,1,9.0
5530-020-021,943    Gardner St,1,8.0
5530-020-024,951    Gardner St,1,1.0
5530-021-001,950    Curson Ave,1,12.0
5530-021-002,942   Curson Ave,1,4.0
5530-021-003,936   Curson Ave,1,8.0
5530-021-004,932   Curson Ave,1,8.0
5530-021-006,924   Curson Ave,1,9.0
