submission_year,monthly_rent,unit_rows,mean_rent_midpoint
2022,3407.23,2,
2022,3422.79,2,
2022,3455,2,
2022,348.67,2,
2022,3489,2,
2022,3493,2,
2022,3499,2,
2022,3526,2,
2022,3564.54,2,
2022,3565.15,2,
2022,3589,2,
2022,3599,2,
2022,3612.1,2,
2022,3616,2,
2022,3631,2,
2022,3643.42,2,
2022,3654.4,2,
2022,3661,2,
2022,3663,2,
2022,3672,2,
2022,3680,2,
2022,3684,2,
2022,3697,2,
2022,3699,2,
2022,3703,2,
2022,3717.65,2,
2022,3796,2,
2022,3821,2,
2022,3840,2,
2022,3888,2,
2022,3996,2,
2022,4030,2,
2022,4050,2,
2022,4068,2,
2022,4100,2,
2022,4145,2,
2022,4146,2,
2022,4150,2,
2022,4172,2,
2022,4175,2,
2022,4195,2,
2022,4251,2,
2022,4310,2,
2022,4446,2,
2022,4490,2,
2022,4517,2,
2022,4570,2,
2022,4579,2,
2022,4595,2,
2022,4631,2,
2022,4674,2,
2022,5054,2,
2022,5250,2,
2022,5382,2,
2022,550,2,
2022,5800,2,
2022,6200,2,
2022,650,2,
2022,660,2,
2022,7000,2,
2022,7015,2,
2022,7285,2,
2022,7612,2,
2022,779.4,2,
2022,7865,2,
2022,7875,2,
2022,8080,2,
2022,809.71,2,
2022,822.73,2,
2022,8230,2,
2022,840,2,
2022,8485,2,
2022,8550,2,
2022,866,2,
2022,8710,2,
2022,8885,2,
2022,890,2,
2022,900,2,
2022,901.38,2,
2022,9070,2,
2022,909.99,2,
2022,9135,2,
2022,920.86,2,
2022,925,2,
2022,9420,2,
2022,9475,2,
2022,950,2,
2022,9960,2,
2022,$1001-$1251,1,1126.0
2022,$3750-$4000,1,3875.0
2022,1000.23,1,
2022,1001.15,1,
2022,10010,1,
2022,10030,1,
2022,10040,1,
2022,1012.03,1,
2022,10125,1,
2022,1013.39,1,
2022,1015.29,1,
2022,1017.89,1,
2022,1018.94,1,
2022,10190,1,
2022,1020.66,1,
2022,10210,1,
2022,1022.32,1,
2022,1024.31,1,
2022,1025.93,1,
2022,1029.76,1,
2022,1032,1,
2022,10330,1,
2022,10345,1,
2022,10395,1,
2022,1040,1,
2022,1042.92,1,
2022,1052.1,1,
2022,1052.45,1,
2022,1052.93,1,
2022,1053.18,1,
2022,1059.17,1,
2022,1060.03,1,
2022,1066.09,1,
2022,1066.35,1,
2022,1068.91,1,
2022,1069.68,1,
2022,1072.47,1,
2022,1075.6,1,
2022,1076.44,1,
2022,1077.19,1,
2022,10770,1,
2022,1080,1,
2022,1081.13,1,
2022,1082.52,1,
2022,1083.76,1,
2022,10860,1,
2022,10875,1,
2022,1089,1,
2022,1089.53,1,
2022,1092.93,1,
2022,1093.86,1,
2022,1094.16,1,
2022,10945,1,
2022,1096,1,
2022,1097.21,1,
2022,1100.72,1,
2022,1101.69,1,
2022,1102.63,1,
2022,1103.77,1,
2022,1104.88,1,
2022,11070,1,
2022,1108.1,1,
2022,1109.56,1,
2022,1115.25,1,
2022,1115.31,1,
2022,1115.43,1,
2022,1118.6,1,
2022,1121.18,1,
2022,1121.5,1,
2022,1122.37,1,
2022,1124,1,
2022,1129.73,1,
2022,1131.33,1,
2022,1131.4,1,
2022,1131.83,1,
2022,11335,1,
2022,1134.9,1,
2022,1135,1,
2022,1137.83,1,
2022,1141.97,1,
2022,1143.37,1,
2022,1143.97,1,
2022,1146,1,
2022,1150.91,1,
2022,1151.5,1,
2022,11545,1,
2022,1155.22,1,
2022,1160.89,1,
2022,1162.6,1,
2022,1164.08,1,
2022,11645,1,
2022,1165.58,1,
2022,1165.92,1,
2022,1171.19,1,
2022,1171.64,1,
2022,1172.07,1,
2022,1173,1,
2022,1175,1,
2022,1175.58,1,
2022,1176.73,1,
2022,1177.28,1,
2022,1177.6,1,
2022,1177.64,1,
2022,1177.84,1,
2022,1179.21,1,
2022,1179.29,1,
2022,1179.73,1,
2022,1179.94,1,
2022,1180.67,1,
2022,1181.46,1,
2022,1182.45,1,
2022,11875,1,
2022,1195.44,1,
2022,1195.63,1,
2022,1196.8,1,
2022,1200.38,1,
2022,12020,1,
2022,1205.87,1,
2022,1206,1,
2022,1208,1,
2022,1210,1,
2022,1214.02,1,
2022,1218.19,1,
2022,1219.08,1,
2022,1219.49,1,
2022,1222.12,1,
2022,12220,1,
2022,1229.68,1,
2022,12310,1,
2022,1232.35,1,
2022,1235.09,1,
2022,12370,1,
2022,1240.53,1,
2022,1244.37,1,
2022,1249.35,1,
2022,1249.98,1,
2022,1250,1,
2022,1250.61,1,
2022,12500,1,
2022,1252.29,1,
2022,1253.08,1,
2022,1253.1,1,
2022,1253.37,1,
2022,1255.49,1,
2022,12565,1,
2022,1258.67,1,
2022,1259.18,1,
2022,1260.22,1,
2022,1264.1,1,
2022,1266.19,1,
2022,1269.1,1,
2022,1271.76,1,
2022,1272.98,1,
2022,1274.57,1,
2022,1276.05,1,
2022,1280.54,1,
2022,1282.11,1,
2022,1284.37,1,
2022,1286.13,1,
2022,1286.17,1,
2022,1288.16,1,
2022,1288.24,1,
2022,1289,1,
2022,1290.92,1,
2022,1291.36,1,
2022,1291.46,1,
2022,1291.63,1,
2022,1294.83,1,
2022,1299.91,1,
2022,1301.91,1,
2022,1302.23,1,
2022,1306.25,1,
2022,1307.24,1,
2022,1309,1,
2022,1310.92,1,
2022,1311.87,1,
2022,1312.11,1,
2022,1312.52,1,
2022,1313.15,1,
2022,13200,1,
2022,1324.07,1,
2022,1324.08,1,
2022,1326.07,1,
2022,1327.65,1,
2022,1328.27,1,
2022,1329,1,
2022,13290,1,
2022,1331.44,1,
2022,1332,1,
2022,1334.15,1,
2022,1335,1,
2022,1339,1,
2022,1341,1,
2022,1343,1,
2022,1344.81,1,
2022,1347,1,
2022,1351.52,1,
2022,1352.74,1,
2022,13575,1,
2022,1358.69,1,
2022,1362.01,1,
2022,1365.16,1,
2022,1370,1,
2022,1374.93,1,
2022,1377.14,1,
2022,1379.04,1,
2022,1380,1,
2022,1381.25,1,
2022,1387.97,1,
2022,1389.16,1,
2022,1389.34,1,
2022,1389.56,1,
2022,1400,1,
2022,1400.67,1,
2022,1401.01,1,
2022,1401.44,1,
2022,1401.95,1,
2022,1406.73,1,
2022,1413.16,1,
2022,1415.82,1,
2022,1416.76,1,
2022,1417.03,1,
2022,1421,1,
2022,1422.3,1,
2022,1425,1,
2022,1431.26,1,
2022,1431.88,1,
2022,1436.95,1,
2022,1438.35,1,
2022,1441.34,1,
2022,1444,1,
2022,1445.49,1,
2022,1449.82,1,
2022,1453.45,1,
2022,1455.32,1,
2022,1456.58,1,
2022,1460.77,1,
2022,1461.34,1,
2022,1463.91,1,
2022,1463.94,1,
2022,1467.05,1,
2022,1469.2,1,
2022,1470,1,
2022,1471.24,1,
2022,1474.02,1,
2022,1474.85,1,
2022,1475,1,
2022,1475.93,1,
2022,1476.2,1,
2022,1478.58,1,
2022,1481.42,1,
2022,1482.73,1,
2022,1483,1,
2022,1487.73,1,
2022,1488.33,1,
2022,1488.85,1,
2022,1489.22,1,
2022,1489.56,1,
2022,1489.86,1,
2022,1490.8,1,
2022,1490.95,1,
2022,1491.43,1,
2022,1491.61,1,
2022,1491.8,1,
2022,1492,1,
2022,1492.56,1,
2022,1493.96,1,
2022,1495.74,1,
2022,1496.26,1,
2022,1497.45,1,
2022,1498.09,1,
2022,1498.4,1,
2022,1499.35,1,
2022,1500.2,1,
2022,1500.42,1,
2022,1509.45,1,
2022,1511.41,1,
2022,1511.61,1,
2022,1512.06,1,
2022,1514.08,1,
2022,1514.65,1,
2022,1521,1,
2022,1521.21,1,
2022,1521.4,1,
2022,1522.47,1,
2022,1522.57,1,
2022,1525,1,
2022,1525.52,1,
2022,1528.23,1,
2022,1528.44,1,
2022,1529.33,1,
2022,1531.1,1,
2022,1531.85,1,
2022,1536.24,1,
2022,1537.83,1,
2022,1540.17,1,
2022,1542.98,1,
2022,1543,1,
2022,1543.97,1,
2022,1544.61,1,
2022,1545.45,1,
2022,1546.5,1,
2022,1546.62,1,
2022,1547.39,1,
2022,1547.69,1,
2022,1547.76,1,
2022,1548.81,1,
2022,1550,1,
2022,1550.44,1,
2022,1550.87,1,
2022,1552,1,
2022,1553.79,1,
2022,1555.35,1,
2022,1556.38,1,
2022,1556.58,1,
2022,1556.69,1,
2022,1560.41,1,
2022,1561.09,1,
2022,1561.12,1,
2022,1565.21,1,
2022,1565.74,1,
2022,1567.51,1,
2022,1574.87,1,
2022,1575,1,
2022,1578.89,1,
2022,1580.63,1,
2022,1581.05,1,
2022,1582.3,1,
2022,1582.79,1,
2022,1584.39,1,
2022,1584.56,1,
2022,1584.58,1,
2022,1585,1,
2022,1585.94,1,
2022,1587.91,1,
2022,1588.42,1,
2022,1588.83,1,
2022,1590.44,1,
2022,1591.17,1,
2022,1596.17,1,
2022,1596.4,1,
2022,1596.73,1,
2022,1600,1,
2022,1602.15,1,
2022,1605.69,1,
2022,1606.17,1,
2022,1607,1,
2022,1608.74,1,
2022,1609.03,1,
2022,1609.35,1,
2022,1610.91,1,
2022,1616.19,1,
2022,1616.67,1,
2022,1617,1,
2022,1620.95,1,
2022,1622.47,1,
2022,1623,1,
2022,1623.73,1,
2022,1624.8,1,
2022,1625.55,1,
2022,1626.28,1,
2022,1627.18,1,
2022,1627.89,1,
2022,1631.01,1,
2022,1631.68,1,
2022,1638.13,1,
2022,1638.21,1,
2022,1638.34,1,
2022,1639.61,1,
2022,1641.36,1,
2022,1645.82,1,
2022,1647.21,1,
2022,1650.66,1,
2022,1651.57,1,
2022,1651.96,1,
2022,1653.96,1,
2022,1657.3,1,
2022,1657.37,1,
2022,1658.36,1,
2022,1660.39,1,
2022,1662.65,1,
2022,1665.18,1,
2022,1666.87,1,
2022,1669.81,1,
2022,1670,1,
2022,1671.58,1,
2022,1675.97,1,
2022,1679.09,1,
2022,1680.86,1,
2022,1684.81,1,
2022,1687,1,
2022,1688.04,1,
2022,1689.99,1,
2022,1695.92,1,
2022,1698.29,1,
2022,1699.5,1,
2022,1707.62,1,
2022,171.61,1,
2022,1715,1,
2022,1717,1,
2022,1719.04,1,
2022,1720.11,1,
2022,1724,1,
2022,1725,1,
2022,1727.72,1,
2022,1729.45,1,
2022,1730,1,
2022,1731.62,1,
2022,1735,1,
2022,1738.82,1,
2022,1744.83,1,
2022,1745,1,
2022,1746.14,1,
2022,1747.92,1,
2022,1750.75,1,
2022,1757.68,1,
2022,1761.73,1,
2022,1765.36,1,
2022,1765.54,1,
2022,1767.99,1,
2022,1774.52,1,
2022,1780.15,1,
2022,1782.37,1,
2022,1784.32,1,
2022,1787.89,1,
2022,1790.25,1,
2022,1793.09,1,
2022,1793.23,1,
2022,1794,1,
2022,1799.75,1,
2022,1807.95,1,
2022,1810.7,1,
2022,1816.51,1,
2022,1817.08,1,
2022,1817.21,1,
2022,1823.5,1,
2022,1825,1,
2022,1826.55,1,
2022,1827.23,1,
2022,1828.34,1,
2022,1832.01,1,
2022,1833.8,1,
2022,1836,1,
2022,1837.96,1,
2022,1839.78,1,
2022,1841.08,1,
2022,1841.4,1,
2022,1845.48,1,
2022,1847.98,1,
2022,1860.66,1,
2022,1861.25,1,
2022,1861.4,1,
2022,1864,1,
2022,1867,1,
2022,1872.79,1,
2022,1878.55,1,
2022,1880.39,1,
2022,1884.9,1,
2022,1888.6,1,
2022,1889.07,1,
2022,1889.13,1,
2022,1889.27,1,
2022,1889.46,1,
2022,1889.87,1,
2022,1891.25,1,
2022,1891.85,1,
2022,1892,1,
2022,1892.55,1,
2022,1893.49,1,
2022,1893.77,1,
2022,1899.78,1,
2022,1904.23,1,
2022,1905.39,1,
2022,1908.37,1,
2022,1920.16,1,
2022,1926.08,1,
2022,1928.65,1,
2022,1933.7,1,
2022,1936.56,1,
2022,1938.58,1,
2022,1938.88,1,
2022,1939.78,1,
2022,1944.14,1,
2022,1949.1,1,
2022,1950.32,1,
2022,1956.07,1,
2022,1956.25,1,
2022,1956.27,1,
2022,1966.04,1,
2022,1969.62,1,
2022,1971.94,1,
2022,1972.55,1,
2022,1979.92,1,
2022,1985.07,1,
2022,1988.23,1,
2022,1989.34,1,
2022,1991.17,1,
2022,1991.69,1,
2022,1993.92,1,
2022,1994.24,1,
2022,1998.02,1,
2022,2001.15,1,
2022,2001.26,1,
2022,2005.09,1,
2022,2005.76,1,
2022,2006.33,1,
2022,2006.51,1,
2022,2010.74,1,
2022,2011.09,1,
2022,2011.82,1,
2022,2011.9,1,
2022,2012.5,1,
2022,2014,1,
2022,2014.95,1,
2022,2017,1,
2022,2020.42,1,
2022,2023.44,1,
2022,2024,1,
2022,2024.42,1,
2022,2025.64,1,
2022,2026.43,1,
2022,2028.14,1,
2022,2031,1,
2022,2032.38,1,
2022,2040.19,1,
2022,2040.44,1,
2022,2041.73,1,
2022,2057.14,1,
2022,2057.22,1,
2022,2063.99,1,
2022,2064.28,1,
2022,2069,1,
2022,2075.11,1,
2022,2075.98,1,
2022,2080.6,1,
2022,2087.27,1,
2022,2091.02,1,
2022,2096.46,1,
2022,2100.76,1,
2022,2102.61,1,
2022,2108,1,
2022,211.56,1,
2022,2120.44,1,
2022,2122.57,1,
2022,2125,1,
2022,2130,1,
2022,2133.16,1,
2022,2133.97,1,
2022,2134.6,1,
2022,2135.5,1,
2022,2138.81,1,
2022,2142,1,
2022,2142.06,1,
2022,2145,1,
2022,2148,1,
2022,2152.78,1,
2022,2164.95,1,
2022,2165.05,1,
2022,2166.41,1,
2022,2174.57,1,
2022,2175.69,1,
2022,2185.18,1,
2022,2186.44,1,
2022,2187.68,1,
2022,2193,1,
2022,2193.39,1,
2022,2194.12,1,
2022,2203.37,1,
2022,2204.75,1,
2022,2211.17,1,
2022,2216.61,1,
2022,2218.54,1,
2022,2220.51,1,
2022,2221.46,1,
2022,2224,1,
2022,2230.41,1,
2022,2233.89,1,
2022,2235.61,1,
2022,2235.62,1,
2022,2237,1,
2022,2240.1,1,
2022,2245.49,1,
2022,2248,1,
2022,2249.94,1,
2022,2253,1,
2022,2255,1,
2022,2255.74,1,
2022,2259.8,1,
2022,2262.74,1,
2022,2263,1,
2022,2264.18,1,
2022,2266.07,1,
2022,2268.8,1,
2022,2269.67,1,
2022,2270,1,
2022,2280.15,1,
2022,2282.69,1,
2022,2283,1,
2022,2283.4,1,
